"Subject" "Activity" "MeasureType" "Measurement" "Mean"
"16" "SITTING" "Frequency" "BodyAccJerk" -0.984901844692029
"17" "SITTING" "Frequency" "BodyAccJerk" -0.991099025566406
"18" "SITTING" "Frequency" "BodyAccJerk" -0.989197953530702
"19" "SITTING" "Frequency" "BodyAccJerk" -0.984383165753425
"20" "SITTING" "Frequency" "BodyAccJerk" -0.975717852481061
"21" "SITTING" "Frequency" "BodyAccJerk" -0.985241065058824
"22" "SITTING" "Frequency" "BodyAccJerk" -0.973835894899194
"23" "SITTING" "Frequency" "BodyAccJerk" -0.978137820716912
"24" "SITTING" "Frequency" "BodyAccJerk" -0.984623501783088
"25" "SITTING" "Frequency" "BodyAccJerk" -0.987912139115385
"26" "SITTING" "Frequency" "BodyAccJerk" -0.989578634503205
"27" "SITTING" "Frequency" "BodyAccJerk" -0.988391091803571
"28" "SITTING" "Frequency" "BodyAccJerk" -0.971624075572917
"29" "SITTING" "Frequency" "BodyAccJerk" -0.989484395416667
"30" "SITTING" "Frequency" "BodyAccJerk" -0.985896456491935
"1" "STANDING" "Frequency" "BodyAccJerk" -0.991290244127358
"2" "STANDING" "Frequency" "BodyAccJerk" -0.978119194652778
"3" "STANDING" "Frequency" "BodyAccJerk" -0.955911179303279
"4" "STANDING" "Frequency" "BodyAccJerk" -0.961345858549107
"5" "STANDING" "Frequency" "BodyAccJerk" -0.951043732053571
"6" "STANDING" "Frequency" "BodyAccJerk" -0.96196725997807
"7" "STANDING" "Frequency" "BodyAccJerk" -0.971042619528302
"8" "STANDING" "Frequency" "BodyAccJerk" -0.982128372638889
"9" "STANDING" "Frequency" "BodyAccJerk" -0.967500682888889
"10" "STANDING" "Frequency" "BodyAccJerk" -0.9593277940625
"11" "STANDING" "Frequency" "BodyAccJerk" -0.987721203351064
"12" "STANDING" "Frequency" "BodyAccJerk" -0.966553895368853
"13" "STANDING" "Frequency" "BodyAccJerk" -0.983578413245614
"14" "STANDING" "Frequency" "BodyAccJerk" -0.971732838708333
"15" "STANDING" "Frequency" "BodyAccJerk" -0.979832009221698
"16" "STANDING" "Frequency" "BodyAccJerk" -0.987089113926282
"17" "STANDING" "Frequency" "BodyAccJerk" -0.990004023958333
"18" "STANDING" "Frequency" "BodyAccJerk" -0.984882693613014
"19" "STANDING" "Frequency" "BodyAccJerk" -0.980481953424657
"20" "STANDING" "Frequency" "BodyAccJerk" -0.94896853369863
"21" "STANDING" "Frequency" "BodyAccJerk" -0.972990623300562
"22" "STANDING" "Frequency" "BodyAccJerk" -0.967540517619048
"23" "STANDING" "Frequency" "BodyAccJerk" -0.9768566053125
"24" "STANDING" "Frequency" "BodyAccJerk" -0.975048272789855
"25" "STANDING" "Frequency" "BodyAccJerk" -0.982679535945946
"26" "STANDING" "Frequency" "BodyAccJerk" -0.983935357736486
"27" "STANDING" "Frequency" "BodyAccJerk" -0.98379329784375
"28" "STANDING" "Frequency" "BodyAccJerk" -0.957295122705696
"29" "STANDING" "Frequency" "BodyAccJerk" -0.989477234211538
"30" "STANDING" "Frequency" "BodyAccJerk" -0.961849499385593
"1" "WALKING" "Frequency" "BodyAccJerk" -0.174617963242751
"2" "WALKING" "Frequency" "BodyAccJerk" -0.277129580294492
"3" "WALKING" "Frequency" "BodyAccJerk" -0.260212190531401
"4" "WALKING" "Frequency" "BodyAccJerk" -0.41075750986875
"5" "WALKING" "Frequency" "BodyAccJerk" -0.33762696111817
"6" "WALKING" "Frequency" "BodyAccJerk" -0.211191392535526
"7" "WALKING" "Frequency" "BodyAccJerk" -0.15915177776068
"8" "WALKING" "Frequency" "BodyAccJerk" -0.169174548003125
"9" "WALKING" "Frequency" "BodyAccJerk" -0.317304333793245
"10" "WALKING" "Frequency" "BodyAccJerk" -0.132438301122429
"11" "WALKING" "Frequency" "BodyAccJerk" -0.446488609023941
"12" "WALKING" "Frequency" "BodyAccJerk" -0.17685604969565
"13" "WALKING" "Frequency" "BodyAccJerk" -0.184195351057588
"14" "WALKING" "Frequency" "BodyAccJerk" -0.439657249745763
"15" "WALKING" "Frequency" "BodyAccJerk" -0.366758256108704
"16" "WALKING" "Frequency" "BodyAccJerk" -0.428858587426471
"17" "WALKING" "Frequency" "BodyAccJerk" -0.327881710882787
"18" "WALKING" "Frequency" "BodyAccJerk" -0.449616030714286
"19" "WALKING" "Frequency" "BodyAccJerk" -0.0107323772073798
"20" "WALKING" "Frequency" "BodyAccJerk" -0.0747036788148529
"21" "WALKING" "Frequency" "BodyAccJerk" -0.180900996363702
"22" "WALKING" "Frequency" "BodyAccJerk" -0.00577379149666304
"23" "WALKING" "Frequency" "BodyAccJerk" -0.108661735850212
"24" "WALKING" "Frequency" "BodyAccJerk" -0.433388578790948
"25" "WALKING" "Frequency" "BodyAccJerk" -0.560656471300676
"26" "WALKING" "Frequency" "BodyAccJerk" -0.330410909559322
"27" "WALKING" "Frequency" "BodyAccJerk" -0.286577441998904
"28" "WALKING" "Frequency" "BodyAccJerk" -0.385805368876389
"29" "WALKING" "Frequency" "BodyAccJerk" -0.245405748550943
"30" "WALKING" "Frequency" "BodyAccJerk" -0.393735124609615
"1" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.143141112071607
"2" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.0168905314101064
"3" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.236368148016166
"4" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.303566682800278
"5" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.139510793326649
"6" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.0537689017624792
"7" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.149302913816223
"8" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.165286165755263
"9" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.170763982420833
"10" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.0470438171180921
"11" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.248371590925
"12" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.112304445111114
"13" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.163888320237162
"14" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.0437802671376389
"15" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.045278581591875
"16" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.203140248026942
"17" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.304262423304076
"18" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.478769783743182
"19" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.299194763764487
"20" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.0645469907836917
"21" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.0773840457748889
"22" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.125350344815278
"23" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" 0.0815124610173611
"24" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.247964167266932
"25" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.528132896133621
"26" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.19215160549825
"27" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.168929159851989
"28" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.136794355094022
"29" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.174108399882734
"30" "WALKING_DOWNSTAIRS" "Frequency" "BodyAccJerk" -0.270180015390887
"1" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.515528811910377
"2" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.331650647527865
"3" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.478299423211419
"4" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.471875866460721
"5" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.34200214723883
"6" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.255024028482206
"7" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.514849703308824
"8" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.243689057544207
"9" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.515687987831633
"10" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.32031557563734
"11" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.550705199282407
"12" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.443867909418269
"13" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.493233689256818
"14" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.358415306865972
"15" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.40795088544388
"16" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.518845944460784
"17" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.43758548703125
"18" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.626651092456897
"19" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.252515210004375
"20" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.316480511463971
"21" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.41528110981117
"22" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.17843049031628
"23" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.383813166063726
"24" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.505220448326271
"25" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.702422453557692
"26" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.441271305929545
"27" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.509260596446078
"28" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.417603359178922
"29" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.391249438023724
"30" "WALKING_UPSTAIRS" "Frequency" "BodyAccJerk" -0.621151306807692
"1" "LAYING" "Time" "BodyAccJerk" -0.578046176853775
"2" "LAYING" "Time" "BodyAccJerk" -0.604712138250547
"3" "LAYING" "Time" "BodyAccJerk" -0.600107517342743
"4" "LAYING" "Time" "BodyAccJerk" -0.591991805685132
"5" "LAYING" "Time" "BodyAccJerk" -0.600206955205817
"6" "LAYING" "Time" "BodyAccJerk" -0.583282870959956
"7" "LAYING" "Time" "BodyAccJerk" -0.595713090518678
"8" "LAYING" "Time" "BodyAccJerk" -0.594715356087778
"9" "LAYING" "Time" "BodyAccJerk" -0.58913993211255
"10" "LAYING" "Time" "BodyAccJerk" -0.596038172646616
"11" "LAYING" "Time" "BodyAccJerk" -0.601040376375285
"12" "LAYING" "Time" "BodyAccJerk" -0.593270966122567
"13" "LAYING" "Time" "BodyAccJerk" -0.603617409001109
"14" "LAYING" "Time" "BodyAccJerk" -0.599199396027034
"15" "LAYING" "Time" "BodyAccJerk" -0.599985991362778
"16" "LAYING" "Time" "BodyAccJerk" -0.605879164558134
"17" "LAYING" "Time" "BodyAccJerk" -0.602270353835863
"18" "LAYING" "Time" "BodyAccJerk" -0.606812065633711
"19" "LAYING" "Time" "BodyAccJerk" -0.60305623409297
"20" "LAYING" "Time" "BodyAccJerk" -0.602976676608101
"21" "LAYING" "Time" "BodyAccJerk" -0.602704728039653
"22" "LAYING" "Time" "BodyAccJerk" -0.594488643383246
"23" "LAYING" "Time" "BodyAccJerk" -0.605135442343247
"24" "LAYING" "Time" "BodyAccJerk" -0.604275945850417
"25" "LAYING" "Time" "BodyAccJerk" -0.59066098915012
"26" "LAYING" "Time" "BodyAccJerk" -0.606461398747178
"27" "LAYING" "Time" "BodyAccJerk" -0.606210704747247
"28" "LAYING" "Time" "BodyAccJerk" -0.599207149345994
"29" "LAYING" "Time" "BodyAccJerk" -0.609523424956178
"30" "LAYING" "Time" "BodyAccJerk" -0.598911633021589
"1" "SITTING" "Time" "BodyAccJerk" -0.606712759477021
"2" "SITTING" "Time" "BodyAccJerk" -0.604156405405353
"3" "SITTING" "Time" "BodyAccJerk" -0.59591119186887
"4" "SITTING" "Time" "BodyAccJerk" -0.597202081246125
"5" "SITTING" "Time" "BodyAccJerk" -0.5951186780755
"6" "SITTING" "Time" "BodyAccJerk" -0.587856180883477
"7" "SITTING" "Time" "BodyAccJerk" -0.596992182809583
"8" "SITTING" "Time" "BodyAccJerk" -0.607071591935891
"9" "SITTING" "Time" "BodyAccJerk" -0.590152388501875
"10" "SITTING" "Time" "BodyAccJerk" -0.606212845081574
"11" "SITTING" "Time" "BodyAccJerk" -0.600014109619222
"12" "SITTING" "Time" "BodyAccJerk" -0.597681806885735
"13" "SITTING" "Time" "BodyAccJerk" -0.611511803313615
"14" "SITTING" "Time" "BodyAccJerk" -0.601933152095088
"15" "SITTING" "Time" "BodyAccJerk" -0.607115548446089
"16" "SITTING" "Time" "BodyAccJerk" -0.606931163520235
"17" "SITTING" "Time" "BodyAccJerk" -0.609830233631563
"18" "SITTING" "Time" "BodyAccJerk" -0.607556670456177
"19" "SITTING" "Time" "BodyAccJerk" -0.604093379280966
"20" "SITTING" "Time" "BodyAccJerk" -0.599822192596875
"21" "SITTING" "Time" "BodyAccJerk" -0.604887033681734
"22" "SITTING" "Time" "BodyAccJerk" -0.600751882607641
"23" "SITTING" "Time" "BodyAccJerk" -0.601122721899439
"24" "SITTING" "Time" "BodyAccJerk" -0.605476176086513
"25" "SITTING" "Time" "BodyAccJerk" -0.607408655733962
"26" "SITTING" "Time" "BodyAccJerk" -0.609225317054551
"27" "SITTING" "Time" "BodyAccJerk" -0.608358190210054
"28" "SITTING" "Time" "BodyAccJerk" -0.595806341545833
"29" "SITTING" "Time" "BodyAccJerk" -0.608163013135375
"30" "SITTING" "Time" "BodyAccJerk" -0.606040687825605
"1" "STANDING" "Time" "BodyAccJerk" -0.609787664558481
"2" "STANDING" "Time" "BodyAccJerk" -0.601929313810972
"3" "STANDING" "Time" "BodyAccJerk" -0.588146484284262
"4" "STANDING" "Time" "BodyAccJerk" -0.595138993679672
"5" "STANDING" "Time" "BodyAccJerk" -0.58743801148279
"6" "STANDING" "Time" "BodyAccJerk" -0.592034007341338
"7" "STANDING" "Time" "BodyAccJerk" -0.598115673048891
"8" "STANDING" "Time" "BodyAccJerk" -0.60329500027463
"9" "STANDING" "Time" "BodyAccJerk" -0.594165419206361
"10" "STANDING" "Time" "BodyAccJerk" -0.588908999381591
"11" "STANDING" "Time" "BodyAccJerk" -0.606563507345266
"12" "STANDING" "Time" "BodyAccJerk" -0.594504995175902
"13" "STANDING" "Time" "BodyAccJerk" -0.604769211745857
"14" "STANDING" "Time" "BodyAccJerk" -0.598299924719981
"15" "STANDING" "Time" "BodyAccJerk" -0.603144760063309
"16" "STANDING" "Time" "BodyAccJerk" -0.607091435029441
"17" "STANDING" "Time" "BodyAccJerk" -0.609431157526362
"18" "STANDING" "Time" "BodyAccJerk" -0.60514286555667
"19" "STANDING" "Time" "BodyAccJerk" -0.602196247824142
"20" "STANDING" "Time" "BodyAccJerk" -0.583404718344976
"21" "STANDING" "Time" "BodyAccJerk" -0.597884574511847
"22" "STANDING" "Time" "BodyAccJerk" -0.595552959046905
"23" "STANDING" "Time" "BodyAccJerk" -0.600640747652136
"24" "STANDING" "Time" "BodyAccJerk" -0.599343895734765
"25" "STANDING" "Time" "BodyAccJerk" -0.604911765599461
"26" "STANDING" "Time" "BodyAccJerk" -0.605175336258277
"27" "STANDING" "Time" "BodyAccJerk" -0.604310721976158
"28" "STANDING" "Time" "BodyAccJerk" -0.588006223012152
"29" "STANDING" "Time" "BodyAccJerk" -0.607714662668537
"30" "STANDING" "Time" "BodyAccJerk" -0.590924812581129
"1" "WALKING" "Time" "BodyAccJerk" -0.0833835140701842
"2" "WALKING" "Time" "BodyAccJerk" -0.154730697784216
"3" "WALKING" "Time" "BodyAccJerk" -0.147142787700797
"4" "WALKING" "Time" "BodyAccJerk" -0.234084713660208
"5" "WALKING" "Time" "BodyAccJerk" -0.188631087218147
"6" "WALKING" "Time" "BodyAccJerk" -0.115013393312281
"7" "WALKING" "Time" "BodyAccJerk" -0.0854033978745175
"8" "WALKING" "Time" "BodyAccJerk" -0.074459862724401
"9" "WALKING" "Time" "BodyAccJerk" -0.164808300643053
"10" "WALKING" "Time" "BodyAccJerk" -0.0637770771165307
"11" "WALKING" "Time" "BodyAccJerk" -0.25671130488178
"12" "WALKING" "Time" "BodyAccJerk" -0.088621428016175
"13" "WALKING" "Time" "BodyAccJerk" -0.0892465960789912
"14" "WALKING" "Time" "BodyAccJerk" -0.246561454052182
"15" "WALKING" "Time" "BodyAccJerk" -0.202783954557433
"16" "WALKING" "Time" "BodyAccJerk" -0.242282750647304
"17" "WALKING" "Time" "BodyAccJerk" -0.180674557446926
"18" "WALKING" "Time" "BodyAccJerk" -0.2513146743
"19" "WALKING" "Time" "BodyAccJerk" 0.0276041655841623
"20" "WALKING" "Time" "BodyAccJerk" -0.0233065052502451
"21" "WALKING" "Time" "BodyAccJerk" -0.0920422296508486
"22" "WALKING" "Time" "BodyAccJerk" 0.0232009126437772
"23" "WALKING" "Time" "BodyAccJerk" -0.0401654210881568
"24" "WALKING" "Time" "BodyAccJerk" -0.251892553542888
"25" "WALKING" "Time" "BodyAccJerk" -0.334333913063801
"26" "WALKING" "Time" "BodyAccJerk" -0.184898779410318
"27" "WALKING" "Time" "BodyAccJerk" -0.158601167179276
"28" "WALKING" "Time" "BodyAccJerk" -0.209354391130093
"29" "WALKING" "Time" "BodyAccJerk" -0.128307161849717
"30" "WALKING" "Time" "BodyAccJerk" -0.223610687064808
"1" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0627527114382653
"2" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.031881667507633
"3" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.123166838973189
"4" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.158603328347889
"5" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0489133216090426
"6" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.0653223150435937
"7" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0791590699597872
"8" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.135286331342105
"9" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0827085785032738
"10" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.00919247277713816
"11" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.12784354721413
"12" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0519817676263587
"13" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0803248917604654
"14" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.0480848502653333
"15" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.00687504949633929
"16" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.107981245389628
"17" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.159321261862038
"18" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.283570937970227
"19" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.223690612579487
"20" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0213438356328611
"21" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0315395262057222
"22" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0361033426003819
"23" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" 0.0801276476532176
"24" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.142004926452
"25" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.311100559941595
"26" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0951955843277525
"27" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.07571455535
"28" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0521323527595109
"29" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.0874025804815885
"30" "WALKING_DOWNSTAIRS" "Time" "BodyAccJerk" -0.15479876041754
"1" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.300238802548585
"2" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.18624414134487
"3" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.273910608132924
"4" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.267976043575481
"5" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.184614475084282
"6" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.13580493161223
"7" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.300155250508824
"8" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.123529285170061
"9" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.297091798045
"10" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.1775519005125
"11" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.324758292421713
"12" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.259722728080529
"13" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.292055705190227
"14" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.198545916980787
"15" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.226686174409896
"16" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.298091678308578
"17" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.241599934723177
"18" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.370125289348491
"19" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.107257104745344
"20" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.173684883269975
"21" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.237018991455319
"22" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.0788059164283036
"23" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.205911963323775
"24" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.301179369864004
"25" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.423167206881981
"26" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.255211868135023
"27" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.300762550788235
"28" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.236842380804289
"29" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.221497374898367
"30" "WALKING_UPSTAIRS" "Time" "BodyAccJerk" -0.3715583891
"1" "LAYING" "Frequency" "BodyGyro" -0.89354550298325
"2" "LAYING" "Frequency" "BodyGyro" -0.974947692682292
"3" "LAYING" "Frequency" "BodyGyro" -0.96886415875
"4" "LAYING" "Frequency" "BodyGyro" -0.963326566226852
"5" "LAYING" "Frequency" "BodyGyro" -0.970754940865385
"6" "LAYING" "Frequency" "BodyGyro" -0.940420413421053
"7" "LAYING" "Frequency" "BodyGyro" -0.948641980600961
"8" "LAYING" "Frequency" "BodyGyro" -0.956615875509259
"9" "LAYING" "Frequency" "BodyGyro" -0.9352382382
"10" "LAYING" "Frequency" "BodyGyro" -0.955363817715517
"11" "LAYING" "Frequency" "BodyGyro" -0.971309211754386
"12" "LAYING" "Frequency" "BodyGyro" -0.9527227926875
"13" "LAYING" "Frequency" "BodyGyro" -0.96428541078629
"14" "LAYING" "Frequency" "BodyGyro" -0.941569039166667
"15" "LAYING" "Frequency" "BodyGyro" -0.953330213802083
"16" "LAYING" "Frequency" "BodyGyro" -0.974817958767857
"17" "LAYING" "Frequency" "BodyGyro" -0.972126234630282
"18" "LAYING" "Frequency" "BodyGyro" -0.986475689903846
"19" "LAYING" "Frequency" "BodyGyro" -0.970312998403615
"20" "LAYING" "Frequency" "BodyGyro" -0.974412320863971
"21" "LAYING" "Frequency" "BodyGyro" -0.967171595625
"22" "LAYING" "Frequency" "BodyGyro" -0.948243937291667
"23" "LAYING" "Frequency" "BodyGyro" -0.972578658958333
"24" "LAYING" "Frequency" "BodyGyro" -0.971906878385417
"25" "LAYING" "Frequency" "BodyGyro" -0.907646410188356
"26" "LAYING" "Frequency" "BodyGyro" -0.977797618980263
"27" "LAYING" "Frequency" "BodyGyro" -0.982156798226351
"28" "LAYING" "Frequency" "BodyGyro" -0.953955504328125
"29" "LAYING" "Frequency" "BodyGyro" -0.985929448913043
"30" "LAYING" "Frequency" "BodyGyro" -0.966750523214286
"1" "SITTING" "Frequency" "BodyGyro" -0.959764583590425
"2" "SITTING" "Frequency" "BodyGyro" -0.973181353369565
"3" "SITTING" "Frequency" "BodyGyro" -0.944882865163462
"4" "SITTING" "Frequency" "BodyGyro" -0.949986545375
"5" "SITTING" "Frequency" "BodyGyro" -0.949299567755682
"6" "SITTING" "Frequency" "BodyGyro" -0.941650478090909
"7" "SITTING" "Frequency" "BodyGyro" -0.937176731119792
"8" "SITTING" "Frequency" "BodyGyro" -0.969567851413043
"9" "SITTING" "Frequency" "BodyGyro" -0.93472954755
"10" "SITTING" "Frequency" "BodyGyro" -0.976335288055556
"11" "SITTING" "Frequency" "BodyGyro" -0.972604841627358
"12" "SITTING" "Frequency" "BodyGyro" -0.960636967279412
"13" "SITTING" "Frequency" "BodyGyro" -0.975752775637755
"14" "SITTING" "Frequency" "BodyGyro" -0.963884063611111
"15" "SITTING" "Frequency" "BodyGyro" -0.974724112860169
"16" "SITTING" "Frequency" "BodyGyro" -0.962385374800725
"17" "SITTING" "Frequency" "BodyGyro" -0.984090786835938
"18" "SITTING" "Frequency" "BodyGyro" -0.986320278355263
"19" "SITTING" "Frequency" "BodyGyro" -0.967741901489726
"20" "SITTING" "Frequency" "BodyGyro" -0.958533824772727
"21" "SITTING" "Frequency" "BodyGyro" -0.979355548308824
"22" "SITTING" "Frequency" "BodyGyro" -0.9562297875
"23" "SITTING" "Frequency" "BodyGyro" -0.959830484908088
"24" "SITTING" "Frequency" "BodyGyro" -0.978329872886029
"25" "SITTING" "Frequency" "BodyGyro" -0.980232601442308
"26" "SITTING" "Frequency" "BodyGyro" -0.976437147996795
"27" "SITTING" "Frequency" "BodyGyro" -0.980728259142857
"28" "SITTING" "Frequency" "BodyGyro" -0.96265465640625
"29" "SITTING" "Frequency" "BodyGyro" -0.981854661083333
"30" "SITTING" "Frequency" "BodyGyro" -0.97290078483871
"1" "STANDING" "Frequency" "BodyGyro" -0.984522280825472
"2" "STANDING" "Frequency" "BodyGyro" -0.966823007800926
"3" "STANDING" "Frequency" "BodyGyro" -0.912142937848361
"4" "STANDING" "Frequency" "BodyGyro" -0.919135487232143
"5" "STANDING" "Frequency" "BodyGyro" -0.911389020290179
"6" "STANDING" "Frequency" "BodyGyro" -0.939713807894737
"7" "STANDING" "Frequency" "BodyGyro" -0.94492975495283
"8" "STANDING" "Frequency" "BodyGyro" -0.969337774953704
"9" "STANDING" "Frequency" "BodyGyro" -0.933163720944444
"10" "STANDING" "Frequency" "BodyGyro" -0.943196099573864
"11" "STANDING" "Frequency" "BodyGyro" -0.983846923457447
"12" "STANDING" "Frequency" "BodyGyro" -0.915098410081967
"13" "STANDING" "Frequency" "BodyGyro" -0.963948085219298
"14" "STANDING" "Frequency" "BodyGyro" -0.94942244575
